HUD PROJECT NUMBER,PREMISE ID,PROPERTY NAME,PROPERTY STREET,PROPERTY CITY,PROPERTY STATE,PROPERTY ZIP,UNITS,INITIAL ENDORSEMENT DATE,FINAL ENDORSEMENT DATE,ORIGINAL MORTGAGE AMOUNT,FIRST PAYMENT DATE,MATURITY DATE,TERM IN MONTHS,INTEREST RATE,CURRENT PRINCIPAL AND INTEREST,AMORTIZED PRINCIPAL BALANCE,HOLDER NAME,HOLDER CITY,HOLDER STATE,SERVICER NAME,SERVICER CITY,SERVICER STATE,SECTION OF ACT CODE,SOA CATEGORY/SUB CATEGORY,TE,TC
00011201,0000019444,FRIENDSHIP TERRACE APARTMENTS,4201 BUTTERWORTH PLACE NW,WASHINGTON,DC,20016,180,8/5/2010,8/5/2010,"7,208,600 ",10/1/2010,9/1/2045,420,4.59,"34,518.07 ","6,860,018.90 ",BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,BERKADIA COMMERCIAL MORTGAGE L,HORSHAM,PA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011202,0000020333,JOHNSON TOWERS,1325 UPSHUR ST NW,WASHINGTON,DC,20011,55,12/10/2010,12/10/2010,"4,541,700 ",2/1/2011,1/1/2046,420,3.78,"19,514.60 ","4,308,216.24 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011204,0000020423,CEDAR COURT,108 OLDE TOWNE AVENUE,GAITHERSBURG,MD,20877,75,12/16/2010,12/16/2010,"9,300,000 ",2/1/2011,1/1/2046,420,3.41,"37,952.65 ","8,786,646.73 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011205,0000003025,MILLWOOD TOWNHOUSES,1392 KAREN BOULEVARD,CAPITAL HEIGHTS,MD,20743,75,12/28/2010,12/28/2010,"5,200,000 ",2/1/2011,1/1/2046,420,3.56,"21,672.27 ","4,921,081.80 ",LOVE FUNDING CORPORATION,WASHINGTON,DC,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011206,0000022136,VICTORY TOWER,7051 CARROLL AVENUE,TAKOMA PARK,MD,20912,374,3/30/2011,3/30/2011,"6,800,000 ",5/1/2011,4/1/2046,420,3.88,"29,621.19 ","6,483,210.88 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011208,0000005669,BURNT MILLS CROSSING ONE,10713 VENTETIA MILL CIRCLE,SILVER SPRING,MD,20901,136,6/28/2011,6/28/2011,"12,240,000 ",8/1/2011,7/1/2046,420,3.84,"53,027.23 ","11,712,086.91 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011209,0000022576,VAN METRE UPTOWN APARTMENTS,2701 14TH ST.  NW/1375 FAIRMON,WASHINGTON,DC,20009,90,8/9/2011,8/9/2011,"12,911,500 ",10/1/2011,9/1/2046,420,3.55,"53,736.73 ","12,356,509.10 ",M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011210,0000000827,HOMECREST HOUSE,14508 14510 HOMECREST ROAD,SILVER SPRING,MD,20906,235,5/31/2011,5/31/2011,"9,596,900 ",7/1/2011,8/1/2042,374,5.38,"52,966.91 ","9,197,794.34 ",LANCASTER POLLARD MORTGAGE COM,COLUMBUS,OH,LANCASTER POLLARD MORTGAGE COM,COLUMBUS,OH,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011211,0000007230,CHASTLETON APTS,1701 16TH STREET,WASHINGTON,DC,20009,300,7/26/2011,7/26/2011,"19,951,600 ",9/1/2011,8/1/2046,420,3.88,"86,910.32 ","19,122,927.55 ",DEUTSCHE BANK BERKSHIRE MORTGA,BETHESDA,MD,BERKELEY POINT CAPITAL LLC,BOSTON,MA,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011212,0000017275,ROCK CREEK TERRACE APTS,12630 VEIRS MILL RD,ROCKVILLE,MD,20853,526,11/30/2012,11/30/2012,"50,475,000 ",1/1/2013,12/1/2047,420,2.37,"176,947.89 ","48,980,677.58 ",LOVE FUNDING CORPORATION,WASHINGTON,DC,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011213,0000009425,DOUGLAS GLEN GRDNS,1455 CEDAR ST SE,WASHINGTON,DC,20020,152,3/29/2012,3/29/2012,"5,496,000 ",5/1/2012,4/1/2047,420,3.1,"21,459.28 ","5,293,217.28 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011214,0000011652,GREGORY ESTATES DBA PLEASANT H,6606 GREIG STREET,SEAT PLEASANT,MD,20743,286,6/25/2012,6/25/2012,"12,000,000 ",8/1/2012,7/1/2047,420,2.9,"45,514.93 ","11,592,428.51 ",LOVE FUNDING CORPORATION,WASHINGTON,DC,HEARTLAND BANK,CHESTERFIELD,MO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011216,0000023757,LEXINGTON APARTMENTS,1114 F STREET NE,WASHINGTON,DC,20002,48,3/21/2012,3/21/2012,"4,520,000 ",5/1/2012,4/1/2047,420,3.95,"19,878.09 ","4,379,068.34 ",CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011217,0000023969,CAPITOL EAST APARTMENTS,31000 CAPITOL EAST PARTNERS  L,WASHINGTON,DC,20002,119,3/8/2012,3/8/2012,"10,400,000 ",5/1/2012,4/1/2047,420,3.95,"45,737.19 ","10,075,732.69 ",CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011218,0000023733,THE LEXINGTON AT MARKET SQUARE,400 8TH STREET NW,WASHINGTON,DC,20004,135,8/3/2012,8/3/2012,"35,592,000 ",10/1/2012,9/1/2047,420,2.44,"126,097.96 ","34,384,412.44 ",M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011220,0000024316,VISTAS AT LAKE LARGO APARTMENT,500 N. HARRY S. TRUMAN DRIVE,LARGO,MD,20774,110,12/20/2012,12/20/2012,"9,760,000 ",2/1/2013,1/1/2048,420,2.65,"35,681.14 ","9,500,869.36 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,TC
00011221,0000023951,ROCK CREEK PALISADES,11300-11370 AND 11400-11476 CO,KENSINGTON,MD,20895,61,9/19/2012,9/19/2012,"10,895,400 ",11/1/2012,10/1/2047,420,2.7,"40,128.24 ","10,560,031.00 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011223,0000001642,WINDHAM CREEK APARTMENTS,5123 SUITLAND ROAD,SUITLAND,MD,20746,162,10/31/2012,10/31/2012,"9,447,900 ",12/1/2012,11/1/2041,348,2.36,"37,516.79 ","9,062,021.68 ",M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011224,0000006630,PORTABELLO II,6441 LIVINGSTON,OXON HILL,MD,20745,102,7/24/2013,7/24/2013,"2,820,000 ",9/1/2013,8/1/2039,312,3.22,"13,355.26 ","2,755,467.96 ",GRANDBRIDGE REAL ESTATE CAPITA,HOOVER,AL,GRANDBRIDGE REAL ESTATE CAPITA,HOOVER,AL,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011225,0000024832,SPELLMAN HOUSE,4711 BERWYN HOUSE ROAD,COLLEGE PARK,DC,20740,141,4/10/2013,4/10/2013,"12,400,000 ",5/1/2013,10/1/2041,342,2.55,"51,051.12 ","12,023,920.68 ",FOREST CITY CAPITAL CORP,CLEVELAND,OH,FOREST CITY CAPITAL CORP,CLEVELAND,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011226,0000005430,GRAMAX BUILDING,6080 13TH ST,SILVER SPRING,MD,20910,180,4/30/2013,4/30/2013,"24,062,100 ",6/1/2013,5/1/2048,420,2.62,"87,576.26 ","23,564,507.39 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,TE,TC
00011227,0000024910,CAMBRIDGE APARTMENTS,676 HOUSTON AVENUE,TAKOMA PARK,MD,20912,33,4/18/2013,4/18/2013,"1,056,100 ",6/1/2013,5/1/2048,420,2.96,"4,040.86 ","1,035,673.14 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011228,0000024906,WINSLOW HOUSE,WINSLOW HOUSE INC,TAKOMA PARK,MD,20912,46,4/18/2013,4/18/2013,"1,536,200 ",6/1/2013,5/1/2048,420,2.96,"5,877.83 ","1,506,487.02 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011229,0000025231,FRIENDSHIP ARMS,5805 42ND AVENUE,HYATTSVILLE,MD,20781,151,5/30/2013,5/30/2013,"8,992,000 ",7/1/2013,6/1/2048,420,3.37,"36,488.99 ","8,843,439.19 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE SERVICING CORP INC,WARRENTON,VA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011230,0000007831,FOREST COVE APARTMENTS,3229 BUENA VISTA TERRACE,WASHINGTON,DC,20020,49,4/29/2013,4/29/2013,"1,328,600 ",6/1/2013,5/1/2041,336,3.14,"5,948.76 ","1,293,393.52 ",LOVE FUNDING CORPORATION,WASHINGTON,DC,HEARTLAND BANK,CHESTERFIELD,MO,REK,223(a)(7)/207/223(f) Refinanced Insurance,,
00011231,0000007227,QUEBEC ARMS,8224 14TH AVENUE,HYATTSVILLE,MD,20783,332,9/30/2013,9/30/2013,"22,600,000 ",11/1/2013,10/1/2048,420,4.19,"102,658.90 ","22,383,265.42 ",GREYSTONE FUNDING CORPORATION,ATLANTA,GA,GREYSTONE FUNDING CORPORATION,ATLANTA,GA,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011232,0000003241,REBECCA APARTMENTS,10920 CONNECTICUT AVE,KENSINGTON,MD,20895,102,7/24/2013,7/24/2013,"8,560,000 ",9/1/2013,5/1/2044,369,2.92,"35,176.90 ","8,400,242.49 ",AMERISPHERE MORTGAGE FINANCE L,DENVER,CO,AMERISPHERE MORTGAGE FINANCE L,DENVER,CO,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011233,0000026408,DOUGLAS KNOLL APARTMENTS,3331 22ND STREET SE,WASHINGTON,MD,20020,184,9/20/2013,9/20/2013,"12,328,000 ",11/1/2013,10/1/2048,420,4.35,"57,203.18 ","12,213,725.40 ",CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,CAPITAL ONE MULTIFAMILY FINANC,BETHESDA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011235,0000026220,CAPITOL PARK TWINS & PLAZA,201 I ST.  SW & 101-103 G SW.,WASHINGTON,MD,20024,648,3/31/2014,3/31/2014,"61,124,400 ",5/1/2014,9/1/2045,377,3.99,"284,684.19 ","60,879,250.00 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,TE,TC
00011236,0000025661,RANDOLPH VILLAGE,531 RANDOLPH ROAD,SILVER SPRING,MD,20904,130,10/24/2013,10/24/2013,"12,011,700 ",12/1/2013,11/1/2048,420,4.25,"55,000.85 ","11,910,780.36 ",COLUMBIA NATIONAL REAL ESTATES,COLUMBIA,MD,COLUMBIA NATIONAL REAL ESTATES,COLUMBIA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00011237,0000026409,EDGEWOOD TERRACE IV: THE VISTA,611 EDGEWOOD STREET NE,WASHINGTON,MD,20017,258,5/15/2014,5/15/2014,"16,500,000 ",7/1/2014,6/1/2049,420,4.2,"75,050.33 ","16,482,699.67 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,HRI,207/ 223(f) Pur/ Refin Hsg.,TE,TC
00011240,0000026295,PIN OAK VILLAGE,16010 EXCALIBUR ROAD,BOWIE,MD,20716,220,4/25/2014,4/25/2014,"20,626,200 ",6/1/2014,5/1/2049,420,3.84,"89,358.68 ","20,579,415.58 ",COLUMBIA NATIONAL REAL ESTATES,COLUMBIA,MD,COLUMBIA NATIONAL REAL ESTATES,COLUMBIA,MD,HRI,207/ 223(f) Pur/ Refin Hsg.,TE,TC
00011241,0000026607,FRANKLIN COMMONS,101 FRANKLIN STREET NE,WASHINGTON,MD,20002,100,6/26/2014,6/26/2014,"10,000,000 ",8/1/2014,7/1/2049,420,3.62,"42,027.33 ","10,000,000.00 ",WELLS FARGO BANK NA,MILWAUKEE,WI,WELLS FARGO BANK NA,MILWAUKEE,WI,HRI,207/ 223(f) Pur/ Refin Hsg.,,
00013004,0000003227,FORT WASHINGTON MEDICAL CENTER,11711 LIVINGSTON ROAD,FT WASHINGTON,MD,20744,37,7/10/2013,7/10/2013,"9,492,000 ",9/1/2013,12/1/2030,208,3.95,"63,097.97 ","9,135,787.69 ",OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,OPPENHEIMER MULTIFAMILY HSG &,NORTH WALES,PA,RET,223(a)(7)/242 Refi/ Hospital,,
00015008,0000005426,CRESCENT CITIES CENTER,4409 EAST WEST HIGHWAY,RIVERDALE,MD,20737,158,7/29/2010,7/29/2010,"627,600 ",9/1/2010,2/1/2045,414,4.45,"2,968.61 ","594,741.18 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RFB,223(a)(7)/223(d)/232 Refi/ 2 yr Op Loss Loan - Health Care,,
00022007,0000004429,CHERRY LANE NURSING CNTR,9001 CHERRY LANE,LAUREL,MD,20708,155,12/29/2003,12/29/2003,"10,285,500 ",2/1/2004,1/1/2039,420,3.92,"47,172.72 ","8,904,967.93 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
00022008,0000005627,INDEPENDENCE CT OF HYATTSVILLE,5821 QUEENS CHAPEL RD,HYATTSVILLE,MD,20782,120,3/27/2003,3/27/2003,"9,180,400 ",5/1/2003,4/1/2038,420,3.75,"21,801.60 ","4,109,378.88 ","PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,RFQ,223(a)(7)/232/223(f)/Pur/Refi/Assisted Living,,
00022010,0000002831,PINEWIEW EXTENDED CARE CENTER,9706 PINEVIEW LANE,CLINTON,MD,20743,192,4/28/2005,4/28/2005,"7,225,300 ",6/1/2005,5/1/2040,420,5.05,"36,695.93 ","6,347,776.88 ",PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,PRUDENTIAL HUNTOON PAIGE ASSOC,DALLAS,TX,RFP,223(a)(7)/232/223(f)/Pur/Refi/Nursing Home,,
00022016,0000018678,KENSINGTON NURSING & REHABILIT,3000 MCCOMAS AVENUE,KENSINGTON,MD,20895,140,2/25/2010,2/25/2010,"7,968,000 ",4/1/2010,3/1/2036,312,4.95,"45,449.87 ","7,239,942.85 ",CAPITAL FUNDING LLC,BALTIMORE,MD,CAPITAL FUNDING LLC,BALTIMORE,MD,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
00022017,0000019642,ST. THOMAS MORE NURSING & REHA,4922 LASALLE ROAD,HYATTSVILLE,MD,20782,240,7/8/2010,7/8/2010,"37,123,600 ",9/1/2010,8/1/2045,420,4.55,"176,841.22 ","35,271,135.74 ",RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RED MORTGAGE CAPITAL LLC,COLUMBUS,OH,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
00022024,0000023517,CROFTON CARE AND REHAB CENTER,2131 DAVIDSONVILLE ROAD,CROFTON,MD,21114,171,5/30/2012,5/30/2012,"3,978,900 ",7/1/2012,6/1/2045,396,3.49,"16,933.62 ","3,840,074.66 ",M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,M AND T REALTY CAPITAL CORPORA,BALTIMORE,MD,RNQ,232/ 223(f)/Pur/Refin/ Nursing Hms,,
00032031,0000018030,GEORGIA COMMOND,3910-3912 GEROGIA AVENUE,WASHINGTON,DC,20011,130,6/30/2009,1/5/2012,"16,695,000 ",4/1/2011,3/1/2051,480,6.15,"93,609.83 ","16,338,718.81 ",DEUTSCHE BANK BERKSHIRE MORTGA,BETHESDA,MD,BERKELEY POINT CAPITAL LLC,BOSTON,MA,LUR,220 Urban Renewal Hsg.,TE,TC
00032033,0000019018,RHODE ISLAND STATION,2300-2350 WASHINGTON PLACE NE,WASHINGTON,DC,20018,274,3/18/2010,3/15/2013,"82,398,400 ",2/1/2013,1/1/2053,480,5.27,"412,168.44 ","81,458,357.50 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,LUR,220 Urban Renewal Hsg.,,
00032034,0000019241,1ST AND M,1160 1ST STREET NE,WASHINGTON,DC,20002,469,7/8/2010,10/7/2013,"151,796,000 ",6/1/2013,5/1/2053,480,5.6,"793,273.19 ","150,570,781.60 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,LUR,220 Urban Renewal Hsg.,,
00032035,0000018627,YALE STEAM LAUNDRY,443 NEWYORK AVENUE NW,WASHINGTON,DC,20019,218,12/15/2009,7/31/2011,"49,954,600 ",2/1/2012,1/1/2052,480,5.55,"254,160.85 ","48,063,917.46 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,LUR,220 Urban Renewal Hsg.,,
00032038,0000023756,CITY MARKET AT O STREET,7TH & O STREETS,WASHINGTON,DC,20001,400,11/17/2011,,"128,000,000 ",2/1/2015,1/1/2055,480,4.37,"564,788.00 ","128,000,000.00 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,LUR,220 Urban Renewal Hsg.,,
00032041,0000003824,CAPITOL HILL TOWER,1000 NEW JERSEY AVENUE SE,WASHINGTON,DC,20003,344,2/25/2011,2/25/2011,"48,902,700 ",4/1/2011,3/1/2051,480,5.07,"238,078.85 ","47,534,636.68 ",WALKER AND DUNLOP LLC,BETHESDA,MD,"PNC BANK, NATIONAL ASSOCIATION",MIAMISBURG,OH,REF,223(a)(7)/220 Refi/ Urban Renewal,,
00035206,0000009435,YORKVILLE,DRAPER & KINGS BRIDGE DR,FAIRFAX,VA,22031,237,9/28/1979,9/21/1981,"8,068,800 ",7/1/1981,6/1/2021,480,7.5,"53,105.00 ","3,481,787.76 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,MMI,221(d)(3) Mkt. Rate Moderate Inc/ Disp Fams,,
00035230,0000009420,OAK STREET APTS,1456 OAK ST NW,WASHINGTON,DC,20009,51,10/1/1980,12/10/1982,"2,099,500 ",8/1/1982,7/1/2022,480,10.5,"18,655.53 ","1,208,269.55 ",CRESTAR BANK,RICHMOND,VA,WELLS FARGO BANK NA,MC LEAN,VA,MMI,221(d)(3) Mkt. Rate Moderate Inc/ Disp Fams,,
00035234,0000009434,HERITAGE PARK,DAWSON & ADAMS STS,ROCKVILLE,MD,20850,65,11/29/1979,4/6/1982,"3,295,100 ",2/1/1982,9/1/2021,476,7.5,"21,713.08 ","1,441,109.21 ",RIGGS BANK NA,RIVERDALE,MD,WELLS FARGO BANK NA,MC LEAN,VA,MMI,221(d)(3) Mkt. Rate Moderate Inc/ Disp Fams,,
00035248,0000009416,SUMMER HILL,1502-1504 N ROLFE ST,ARLINGTON,VA,22209,14,11/20/1980,12/17/1981,"661,700 ",2/1/1982,1/1/2022,480,10.65,"5,958.33 ","368,253.41 ",SUNTRUST BANK,ATLANTA,GA,WELLS FARGO BANK NA,MC LEAN,VA,MMI,221(d)(3) Mkt. Rate Moderate Inc/ Disp Fams,,
00035373,0000007824,UNIVERSITY LANDING APTS,1001 THRU 1028 MERRIMAC DR,LANGLEY PARK,MD,20903,117,9/30/1999,3/12/2001,"6,228,900 ",1/1/2001,12/1/2040,480,6.55,"37,321.06 ","5,359,569.43 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,OMI,221(d)(4) Mkt. Rate Mod Inc/ Disp Fams,,TC
00035377,0000007624,STANTON GLENN APTS,3040 STANTON RD SE,WASHINGTON,DC,20020,378,3/30/2000,4/10/2003,"22,329,200 ",5/1/2002,4/1/2042,480,6.65,"133,121.20 ","20,207,850.86 ",ARBOR COMMERCIAL MORTGAGE LLC,DEPEW,NY,ARBOR COMMERCIAL MORTGAGE LLC,DEPEW,NY,OMI,221(d)(4) Mkt. Rate Mod Inc/ Disp Fams,,TC
00035379,0000007237,UNIVERSITY MANOR APTS,820 UNIVERSITY BLVD EAST,SILVER SPRING,MD,20803,136,11/30/2000,8/14/2002,"7,300,000 ",3/1/2002,2/1/2042,480,6.8,"44,307.94 ","6,614,395.16 ",DB MORTGAGE SERVICES LLC,BETHESDA,MD,BERKELEY POINT CAPITAL LLC,BOSTON,MA,OMI,221(d)(4) Mkt. Rate Mod Inc/ Disp Fams,,TC
00035380,0000007639,CONGRESS PARK PLAZZA APTS,1237 SAVANNAH ST S.E.,WASHINGTON,DC,20032,163,3/30/2000,3/30/2000,"6,307,500 ",5/1/2000,11/1/2036,439,7.25,"22,386.04 ","2,967,811.38 ",WELLS FARGO BANK NA,MC LEAN,VA,WELLS FARGO BANK NA,MC LEAN,VA,REJ,223(a)(7)/221(d)(4) MKT  Refi/ Moderate Income,,
